"","industry_section","year","average_migration_rate","industry_section_index","average_grow_rate"
"1","10",2015,166.149090909091,"M",0.00103127096532274
"2","10",2016,108.053333333333,"M",-0.00113202740265655
"3","10",2017,86.8821212121212,"M",0.00307988577177096
"4","10",2018,49.7372727272727,"M",0.00273115794679808
"5","10",2019,46.1621212121212,"M",0.00128622850223389
"6","103",2015,14.6144444444444,"J",-0.00218274934189881
"7","103",2016,34.4688888888889,"J",-0.000874274288514649
"8","103",2017,17.2866666666667,"J",-0.0052589041997375
"9","103",2018,16.5444444444444,"J",0.00373319178117902
"10","103",2019,25.2455555555556,"J",0.00441217160633768
"11","105",2015,136.066176470588,"M",-0.00468170340227188
"12","105",2016,108.556176470588,"M",0.00383407614055432
"13","105",2017,90.2823529411765,"M",0.00544767430481298
"14","105",2018,66.0826470588235,"M",0.00270251239650087
"15","105",2019,24.3235294117647,"M",0.00331222144863453
"16","106",2015,359.561052631579,"K",0.0362930641149147
"17","106",2016,307.421578947368,"K",0.0377374309941246
"18","106",2017,288.918421052632,"K",0.0442904681738027
"19","106",2018,281.427368421053,"K",0.0355229417893025
"20","106",2019,123.588421052632,"K",0.0320213040251333
"21","108",2015,133.754736842105,"M",-0.00460434818834826
"22","108",2016,128.011052631579,"M",-0.00412734243055319
"23","108",2017,114.677368421053,"M",0.00158813275571768
"24","108",2018,74.3631578947368,"M",-0.0135918640763412
"25","108",2019,62.2105263157895,"M",-0.00617751521352884
"26","109",2015,167.959310344828,"J",0.0152289278321402
"27","109",2016,110.736206896552,"J",0.00625657138915288
"28","109",2017,116.804482758621,"J",0.00432820814415379
"29","109",2018,115.943103448276,"J",-0.00168990475704812
"30","109",2019,49.3320689655172,"J",-0.00222211381260486
"31","11",2015,138.85670886076,"M",-0.00505515091762397
"32","11",2016,92.6079746835443,"M",-0.00212366890298598
"33","11",2017,61.6783544303797,"M",-0.00157447502773232
"34","11",2018,50.5916455696203,"M",0.00188351423884228
"35","11",2019,-4.48037974683544,"M",0.0024537399503856
"36","110",2015,103.986764705882,"M",-0.00505238235905537
"37","110",2016,73.8702941176471,"M",-0.00843153844935732
"38","110",2017,49.8155882352941,"M",-0.00393478343531851
"39","110",2018,61.6408823529412,"M",0.000165409626291963
"40","110",2019,31.1114705882353,"M",-0.000995254385000398
"41","111",2015,93.93,"R",0.00270052570304486
"42","111",2016,42.375,"R",0.00298500695068372
"43","111",2017,37.505,"R",0.0055505520080398
"44","111",2018,44.278,"R",0.00166320219526451
"45","111",2019,27.368,"R",0.000698555285887567
"46","112",2015,52.4687878787879,"C",-0.0025426360545895
"47","112",2016,24.7607575757576,"C",-0.00236230700991258
"48","112",2017,6.01984848484848,"C",0.00181343867218491
"49","112",2018,17.8262121212121,"C",-0.002247368017914
"50","112",2019,-10.8181818181818,"C",-0.00605272711404785
"51","113",2015,176.502777777778,"J",-0.00500757534832343
