"","industry","year","average_migration_rate","industry_section_index"
"1","1",2015,-39.1417857142857,"C"
"2","1",2015,-39.1417857142857,"C"
"3","1",2015,-39.1417857142857,"C"
"4","1",2015,-39.1417857142857,"C"
"5","1",2015,-39.1417857142857,"C"
"6","1",2015,-39.1417857142857,"C"
"7","1",2015,-39.1417857142857,"C"
"8","1",2015,-39.1417857142857,"C"
"9","1",2015,-39.1417857142857,"C"
"10","1",2015,-39.1417857142857,"C"
"11","1",2015,-39.1417857142857,"C"
"12","1",2015,-39.1417857142857,"C"
"13","1",2015,-39.1417857142857,"C"
"14","1",2015,-39.1417857142857,"C"
"15","1",2015,-39.1417857142857,"C"
"16","1",2015,-39.1417857142857,"C"
"17","1",2015,-39.1417857142857,"C"
"18","1",2015,-39.1417857142857,"C"
"19","1",2015,-39.1417857142857,"C"
"20","1",2015,-39.1417857142857,"C"
"21","1",2015,-39.1417857142857,"C"
"22","1",2015,-39.1417857142857,"C"
"23","1",2015,-39.1417857142857,"C"
"24","1",2015,-39.1417857142857,"C"
"25","1",2015,-39.1417857142857,"C"
"26","1",2015,-39.1417857142857,"C"
"27","1",2015,-39.1417857142857,"C"
"28","1",2015,-39.1417857142857,"C"
"29","1",2016,-38.5575,"C"
"30","1",2016,-38.5575,"C"
"31","1",2016,-38.5575,"C"
"32","1",2016,-38.5575,"C"
"33","1",2016,-38.5575,"C"
"34","1",2016,-38.5575,"C"
"35","1",2016,-38.5575,"C"
"36","1",2016,-38.5575,"C"
"37","1",2016,-38.5575,"C"
"38","1",2016,-38.5575,"C"
"39","1",2016,-38.5575,"C"
"40","1",2016,-38.5575,"C"
"41","1",2016,-38.5575,"C"
"42","1",2016,-38.5575,"C"
"43","1",2016,-38.5575,"C"
"44","1",2016,-38.5575,"C"
"45","1",2016,-38.5575,"C"
"46","1",2016,-38.5575,"C"
"47","1",2016,-38.5575,"C"
"48","1",2016,-38.5575,"C"
"49","1",2016,-38.5575,"C"
"50","1",2016,-38.5575,"C"
"51","1",2016,-38.5575,"C"
"52","1",2016,-38.5575,"C"
"53","1",2016,-38.5575,"C"
"54","1",2016,-38.5575,"C"
"55","1",2016,-38.5575,"C"
"56","1",2016,-38.5575,"C"
"57","1",2017,-57.1414285714286,"C"
"58","1",2017,-57.1414285714286,"C"
"59","1",2017,-57.1414285714286,"C"
"60","1",2017,-57.1414285714286,"C"
"61","1",2017,-57.1414285714286,"C"
"62","1",2017,-57.1414285714286,"C"
"63","1",2017,-57.1414285714286,"C"
"64","1",2017,-57.1414285714286,"C"
"65","1",2017,-57.1414285714286,"C"
"66","1",2017,-57.1414285714286,"C"
"67","1",2017,-57.1414285714286,"C"
"68","1",2017,-57.1414285714286,"C"
"69","1",2017,-57.1414285714286,"C"
"70","1",2017,-57.1414285714286,"C"
"71","1",2017,-57.1414285714286,"C"
